listing_id,date,num_reviews,reviewers
23573474,2024-12-01,1,12836966
29010398,2025-04-01,1,663092813
29010398,2025-01-01,1,144116416
41159520,2025-03-01,1,125988669
41159520,2025-06-01,1,99089731
25086694,2025-08-01,2,"41566166,474934383"
25086694,2025-02-01,1,13664803
25086694,2024-12-01,1,422261829
40199291,2024-12-01,1,165886662
42123446,2025-09-01,1,492883609
42123446,2025-07-01,1,257358156
42123446,2025-06-01,1,492883609
42123446,2025-04-01,4,"456226207,435611965,393540857,250469005"
42123446,2025-03-01,1,458518601
42123446,2025-02-01,1,435611965
42123446,2025-01-01,2,"435721563,427318796"
42123446,2024-12-01,3,"450174830,220391931,308664233"
42123446,2024-11-01,2,"580697106,490186721"
10345396,2025-02-01,3,"383394941,32667409,145659779"
10345396,2025-04-01,3,"395733738,32667409,278239170"
10345396,2025-05-01,3,"32667409,483407257,30628927"
10345396,2025-06-01,2,"81473558,425311665"
10345396,2025-03-01,1,194482451
40484073,2024-12-01,2,"123168446,81407431"
40484073,2025-08-01,1,710751447
40484073,2025-06-01,1,160173971
40484073,2025-03-01,1,568954723
40484073,2025-01-01,2,"348631356,66878252"
40993682,2024-12-01,1,337781544
40993682,2024-11-01,1,289291547
40993682,2025-03-01,1,189785421
40993682,2025-01-01,1,14049641
5234165,2025-09-01,1,478817028
5234165,2025-07-01,1,421363413
5234165,2025-05-01,1,398405385
5234165,2025-04-01,1,685471217
5234165,2025-02-01,1,674095659
40697310,2024-11-01,1,442769582
40697310,2024-12-01,1,665482195
40697310,2025-03-01,1,685704795
37766191,2025-10-01,2,"146719260,715189411"
37766191,2025-08-01,1,288779708
37766191,2025-06-01,2,"273491770,2128472"
37766191,2025-04-01,1,13644879
37766191,2025-03-01,1,180429548
37766191,2024-11-01,2,"15276008,65551075"
42066452,2025-08-01,1,453939127
42066452,2025-07-01,1,305038526
42066452,2025-02-01,1,157223993
42066452,2025-01-01,1,377870402
42066452,2024-12-01,4,"39811060,36125750,102861471,102861471"
38322583,2025-08-01,1,36543705
38322583,2025-07-01,4,"339675596,27075784,91919941,80858664"
38322583,2025-06-01,5,"565885362,212496321,542680085,339675596,339675596"
38322583,2025-04-01,3,"53878218,555939610,81407431"
38322583,2025-03-01,5,"185432857,471472620,684783351,6163820,146367774"
38322583,2025-02-01,1,297567549
38322583,2024-12-01,2,"519794896,100814403"
38322583,2024-11-01,1,32050556
40976598,2025-05-01,1,147931455
40976598,2025-01-01,1,303172509
40976598,2024-11-01,1,547862791
41918549,2025-01-01,1,467588739
41918549,2024-11-01,1,68867359
25875366,2024-12-01,2,"90376447,95755368"
25875366,2025-08-01,1,40262594
32347153,2025-09-01,2,"99829699,107233716"
32347153,2025-07-01,2,"17304315,508731090"
32347153,2024-11-01,1,156574346
32347153,2025-01-01,1,179281530
32347153,2025-08-01,4,"17304315,95734674,242138058,8480927"
32347153,2025-04-01,2,"69500986,97215431"
32347153,2024-12-01,1,13941672
32347153,2025-02-01,2,"17304315,13556566"
20911493,2025-02-01,1,34291333
28505992,2025-03-01,1,101283889
24568714,2025-01-01,2,"474472165,297932780"
40550579,2024-11-01,1,373625100
12498542,2025-05-01,1,451880296
12498542,2025-06-01,1,673247129
12498542,2025-02-01,1,149366775
19421984,2025-10-01,1,486620005
19421984,2025-09-01,2,"486620005,25262151"
19421984,2025-08-01,4,"161875796,463186926,53437316,287226104"
19421984,2025-07-01,1,486620005
19421984,2025-05-01,1,486620005
19421984,2025-03-01,2,"120344695,1667614"
19421984,2025-02-01,3,"14132301,75182017,188688267"
19421984,2024-11-01,1,63514956
19421984,2025-01-01,1,7035867
40810548,2025-02-01,1,207689340
